award_name,award_url,award_category,year,winner,notes,table_index,row_index,raw_cells
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1975","Toyota","conference: First Conference; Series: 3–1; Runner-up: Crispa; Third place: U/Tex; Winning coach: Dante Silverio","1","1","[""1975"",""First Conference"",""Toyota"",""3–1"",""Crispa"",""U/Tex"",""Dante Silverio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1975","Toyota","conference: Second Conference; Series: 2–1; Runner-up: Crispa; Third place: Noritake; Winning coach: Dante Silverio","1","2","[""1975"",""Second Conference"",""Toyota"",""2–1"",""Crispa"",""Noritake"",""Dante Silverio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1975","Crispa","conference: All-Philippine; Series: 3–2; Runner-up: Toyota; Third place: U/Tex; Winning coach: Baby Dalupan","1","3","[""1975"",""All-Philippine"",""Crispa"",""3–2"",""Toyota"",""U/Tex"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1976","Crispa","conference: First Conference; Series: 3–1; Runner-up: Toyota; Third place: Noritake; Winning coach: Baby Dalupan","1","4","[""1976"",""First Conference"",""Crispa"",""3–1"",""Toyota"",""Noritake"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1976","Crispa","conference: Second Conference; Series: 3–1; Runner-up: Toyota; Third place: Royal; Winning coach: Baby Dalupan","1","5","[""1976"",""Second Conference"",""Crispa"",""3–1"",""Toyota"",""Royal"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1976","Crispa","conference: All-Philippine; Series: 3–2; Runner-up: Toyota; Third place: U/Tex; Winning coach: Baby Dalupan","1","6","[""1976"",""All-Philippine"",""Crispa"",""3–2"",""Toyota"",""U/Tex"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1977","Crispa","conference: All-Filipino; Series: 3–1; Runner-up: Mariwasa; Third place: Toyota; Winning coach: Baby Dalupan","1","7","[""1977"",""All-Filipino"",""Crispa"",""3–1"",""Mariwasa"",""Toyota"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1977","Crispa","conference: Open; Series: 3–2; Runner-up: U/Tex; Third place: Toyota; Winning coach: Baby Dalupan","1","8","[""1977"",""Open"",""Crispa"",""3–2"",""U/Tex"",""Toyota"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1977","Toyota","conference: Invitational; Series: 3–0; Runner-up: Emtex Brazil; Third place: Crispa; Winning coach: Dante Silverio","1","9","[""1977"",""Invitational"",""Toyota"",""3–0"",""Emtex Brazil"",""Crispa"",""Dante Silverio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1978","Toyota","conference: All-Filipino; Series: 3–1; Runner-up: Filmanbank; Third place: Tanduay; Winning coach: Dante Silverio","1","10","[""1978"",""All-Filipino"",""Toyota"",""3–1"",""Filmanbank"",""Tanduay"",""Dante Silverio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1978","U/Tex","conference: Open; Series: 3–0; Runner-up: Crispa; Third place: Toyota; Winning coach: Tommy Manotoc","1","11","[""1978"",""Open"",""U/Tex"",""3–0"",""Crispa"",""Toyota"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1978","Toyota","conference: Invitational; Series: 3–1; Runner-up: Tanduay; Third place: Crispa; Winning coach: Dante Silverio","1","12","[""1978"",""Invitational"",""Toyota"",""3–1"",""Tanduay"",""Crispa"",""Dante Silverio""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1979","Crispa","conference: All-Filipino; Series: 3–2; Runner-up: Toyota; Third place: Tanduay; Winning coach: Baby Dalupan","1","13","[""1979"",""All-Filipino"",""Crispa"",""3–2"",""Toyota"",""Tanduay"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1979","Royal","conference: Open; Series: 3–1; Runner-up: Toyota; Third place: Great Taste; Winning coach: Ed Ocampo","1","14","[""1979"",""Open"",""Royal"",""3–1"",""Toyota"",""Great Taste"",""Ed Ocampo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1979","Toyota","conference: Invitational; Series: 3–1; Runner-up: Walk Tall; Third place: U/Tex; Winning coach: Fort Acuña","1","15","[""1979"",""Invitational"",""Toyota"",""3–1"",""Walk Tall"",""U/Tex"",""Fort Acuña""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1980","U/Tex","conference: Open; Series: 3–2; Runner-up: Toyota; Third place: Walk Tall; Winning coach: Tommy Manotoc","1","16","[""1980"",""Open"",""U/Tex"",""3–2"",""Toyota"",""Walk Tall"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1980","Nicholas Stoodley (USA)","conference: Invitational; Series: 2–0; Runner-up: Toyota; Third place: Adidas (France); Winning coach: Jerry Webber","1","17","[""1980"",""Invitational"",""Nicholas Stoodley (USA)"",""2–0"",""Toyota"",""Adidas (France)"",""Jerry Webber""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1980","Crispa","conference: All-Filipino; Series: 3–1; Runner-up: Toyota; Third place: Tanduay; Winning coach: Baby Dalupan","1","18","[""1980"",""All-Filipino"",""Crispa"",""3–1"",""Toyota"",""Tanduay"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1981","Toyota","conference: Open; Series: 3–2; Runner-up: Crispa; Third place: U/Tex; Winning coach: Ed Ocampo","1","19","[""1981"",""Open"",""Toyota"",""3–2"",""Crispa"",""U/Tex"",""Ed Ocampo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1981","Crispa","conference: Reinforced Filipino; Series: 3–1; Runner-up: U/Tex; Third place: Presto; Winning coach: Baby Dalupan","1","20","[""1981"",""Reinforced Filipino"",""Crispa"",""3–1"",""U/Tex"",""Presto"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1982","Toyota","conference: Reinforced Filipino; Series: 4–3; Runner-up: San Miguel; Third place: Crispa; Winning coach: Ed Ocampo","1","21","[""1982"",""Reinforced Filipino"",""Toyota"",""4–3"",""San Miguel"",""Crispa"",""Ed Ocampo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1982","San Miguel","conference: Invitational; Series: 2–1; Runner-up: Crispa; Third place: South Korea; Winning coach: Tommy Manotoc","1","22","[""1982"",""Invitational"",""San Miguel"",""2–1"",""Crispa"",""South Korea"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1982","Toyota","conference: Open; Series: 3–0; Runner-up: Gilbey's Gin; Third place: San Miguel; Winning coach: Ed Ocampo","1","23","[""1982"",""Open"",""Toyota"",""3–0"",""Gilbey's Gin"",""San Miguel"",""Ed Ocampo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1983","Crispa","conference: All-Filipino; Series: 3–0; Runner-up: Gilbey's Gin; Third place: Great Taste; Winning coach: Tommy Manotoc","1","24","[""1983"",""All-Filipino"",""Crispa"",""3–0"",""Gilbey's Gin"",""Great Taste"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1983","Crispa","conference: Reinforced Filipino; Series: 3–2; Runner-up: Great Taste; Third place: Tanduay; Winning coach: Tommy Manotoc","1","25","[""1983"",""Reinforced Filipino"",""Crispa"",""3–2"",""Great Taste"",""Tanduay"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1983","Crispa","conference: Open; Series: 3–0; Runner-up: Great Taste; Third place: San Miguel; Winning coach: Tommy Manotoc","1","26","[""1983"",""Open"",""Crispa"",""3–0"",""Great Taste"",""San Miguel"",""Tommy Manotoc""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1984","Crispa","conference: First All-Filipino; Series: 4–1; Runner-up: Gilbey's Gin; Third place: Northern Cement; Winning coach: Narciso Bernardo","1","27","[""1984"",""First All-Filipino"",""Crispa"",""4–1"",""Gilbey's Gin"",""Northern Cement"",""Narciso Bernardo""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1984","Great Taste","conference: Second All-Filipino; Series: 3–0; Runner-up: Beer Hausen; Third place: Tanduay; Winning coach: Baby Dalupan","1","28","[""1984"",""Second All-Filipino"",""Great Taste"",""3–0"",""Beer Hausen"",""Tanduay"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1984","Great Taste","conference: Invitational; Series: 3–2; Runner-up: Crispa; Third place: Beer Hausen; Winning coach: Baby Dalupan","1","29","[""1984"",""Invitational"",""Great Taste"",""3–2"",""Crispa"",""Beer Hausen"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1985","Great Taste","conference: Open; Series: 4–2; Runner-up: Magnolia; Third place: Northern Cement; Winning coach: Baby Dalupan","1","30","[""1985"",""Open"",""Great Taste"",""4–2"",""Magnolia"",""Northern Cement"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1985","Great Taste","conference: All-Filipino; Series: 3–1; Runner-up: Shell; Third place: Tanduay; Winning coach: Baby Dalupan","1","31","[""1985"",""All-Filipino"",""Great Taste"",""3–1"",""Shell"",""Tanduay"",""Baby Dalupan""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1985","Northern Cement","conference: Reinforced; Series: 4–0; Runner-up: Manila Beer; Third place: Ginebra; Winning coach: Ron Jacobs","1","32","[""1985"",""Reinforced"",""Northern Cement"",""4–0"",""Manila Beer"",""Ginebra"",""Ron Jacobs""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1986","Tanduay","conference: Reinforced; Series: 4–2; Runner-up: Great Taste; Third place: Ginebra; Winning coach: Turo Valenzona","1","33","[""1986"",""Reinforced"",""Tanduay"",""4–2"",""Great Taste"",""Ginebra"",""Turo Valenzona""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1986","Tanduay","conference: All-Filipino; Series: 3–1; Runner-up: Ginebra; Third place: Shell; Winning coach: Turo Valenzona","1","34","[""1986"",""All-Filipino"",""Tanduay"",""3–1"",""Ginebra"",""Shell"",""Turo Valenzona""]"
"List of Philippine Basketball Association champions","https://en.wikipedia.org/wiki/List_of_Philippine_Basketball_Association_champions","Unknown","1986","Ginebra","conference: Open; Series: 4–1; Runner-up: Manila Beer; Third place: Great Taste; Winning coach: Robert Jaworski","1","35","[""1986"",""Open"",""Ginebra"",""4–1"",""Manila Beer"",""Great Taste"",""Robert Jaworski""]"
